Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1975:Q1,38.81,43.18,59.13,92.60,108.33,57.06,90.18,54.15,42.47,32.50,22.81,79.78,101.93,96.69,24.28,37.78,57.02,55.28,76.88,53.81,99.76,79.96,60.23,62.93,345.77,92.59
1975:Q2,38.20,44.30,58.81,90.62,108.12,57.29,97.29,53.54,42.90,31.44,23.29,76.60,100.46,96.02,25.89,39.23,56.12,53.12,77.15,53.76,97.67,82.71,60.03,64.83,338.62,95.22
1975:Q3,38.31,45.61,59.71,89.21,108.69,58.73,95.72,53.39,43.53,30.79,23.60,73.47,98.82,97.94,27.35,40.51,55.84,51.41,77.57,53.13,95.56,85.37,59.95,66.65,332.30,100.67
1975:Q4,37.43,47.21,59.24,87.72,108.91,57.81,99.03,56.12,44.40,29.78,23.76,70.69,96.89,99.36,28.68,42.69,56.49,50.07,78.26,53.27,95.73,88.33,58.96,68.37,326.86,102.15
1976:Q1,37.61,49.06,58.93,85.68,109.52,58.12,97.13,52.02,45.09,29.57,23.78,67.29,94.76,100.89,29.85,43.99,55.35,48.80,79.05,53.25,95.09,91.07,55.95,69.99,323.31,101.73
1976:Q2,37.83,50.68,59.75,84.75,110.22,56.96,104.12,51.36,45.68,29.42,23.84,63.87,92.74,103.98,31.02,48.28,56.66,47.93,79.87,54.79,93.95,93.94,54.63,71.49,317.61,101.66
1976:Q3,38.05,52.13,58.76,83.85,110.86,57.01,102.94,50.57,46.13,29.02,23.93,61.19,91.80,104.79,32.14,51.45,56.84,46.53,80.81,54.88,92.29,96.99,50.93,72.88,311.67,103.50
1976:Q4,37.57,53.54,57.57,84.06,112.26,58.37,97.94,49.91,46.74,28.18,24.02,59.01,90.87,108.88,33.24,52.92,57.90,45.48,81.86,54.72,90.01,100.18,50.47,74.17,303.45,106.38
1977:Q1,37.60,54.68,55.72,83.42,113.37,57.18,93.70,48.86,47.92,27.42,23.78,57.59,89.91,108.06,34.53,58.39,57.76,44.18,83.84,55.63,88.03,103.93,48.63,75.11,288.62,109.78
1977:Q2,37.44,56.25,55.14,83.96,114.88,58.95,84.91,47.99,48.03,26.79,24.12,56.79,89.54,111.93,35.46,65.51,57.35,44.14,84.25,57.03,86.26,106.91,49.04,76.17,280.67,109.92
1977:Q3,37.45,57.90,54.40,84.59,116.42,60.12,93.97,46.55,48.38,26.82,24.67,56.07,89.44,114.49,36.28,66.87,57.49,43.27,84.50,57.46,84.13,108.84,46.90,77.06,272.92,107.13
1977:Q4,37.10,59.54,56.06,84.53,118.31,62.43,89.50,45.90,49.09,27.34,25.47,55.80,89.93,118.59,36.97,66.14,57.54,41.98,84.91,58.91,83.26,110.06,45.42,77.63,267.83,102.86
