Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2005:Q1,99.54,100.22,98.59,99.11,99.46,100.25,99.52,98.55,99.19,99.43,98.85,99.82,99.06,99.26,99.18,100.16,100.03,99.55,99.43,99.61,98.62,100.5,98.96,98.83,98.22,99.89
2005:Q2,100.42,98.84,100.02,99.66,99.88,100.55,100.3,100.13,99.68,100.06,99.69,99.29,99.79,99.89,99.85,100.35,99.5,100.08,98.64,99.79,99.54,99.36,99.86,99.39,99.35,100.07
2005:Q3,100.24,99.83,100.06,100.34,99.92,99.79,100.08,100.59,100.14,100.32,100.37,99.75,100.36,100.4,100.37,101.43,99.91,100.11,100.23,100.01,100.61,100.28,100.36,100.81,100.57,100.05
2005:Q4,99.8,101.11,101.33,100.9,100.75,99.41,100.1,100.73,100.98,100.19,101.09,101.13,100.79,100.45,100.6,98.06,100.57,100.26,101.71,100.59,101.61,99.86,100.82,100.97,101.87,100
2006:Q1,99.96,101.8,103.51,101.65,100.9,101.65,100.16,101.6,100.42,100.44,101.71,100.66,101.11,101.35,101.27,99.61,99.66,100.4,102.72,101.54,102.84,99.02,101.42,101.61,103.45,99.61
2006:Q2,100.13,102.27,103.11,102.32,101.38,102.28,100.4,100.6,101.48,100.21,101.71,100.1,101.81,101.6,101.24,101.27,99.82,100.29,103.54,101.9,104.16,99.15,102.67,101.12,104.81,100.14
2006:Q3,102.3,100.25,105.27,103.27,101.88,100.33,100.45,102.36,102.96,100.83,102.02,100.93,102.29,102.57,101.63,101.05,100.11,101.38,104.68,102.09,105.62,100.52,104.09,101.96,106.17,100.13
2006:Q4,103.95,101.96,107.03,104.29,103,100.48,100.6,103.33,104.21,101.34,103.43,101.94,103.08,103.5,102.73,102.99,99.52,103.08,106.75,102.63,106.98,102.46,106.04,104.79,107.51,100.24
2007:Q1,105.02,103.48,107.9,105.79,102.3,100.43,100.1,104.21,104.27,103.34,102.26,102.41,103.72,104.77,102.9,102.01,100.93,104.75,108.57,103.01,108.16,103.23,107.34,106.02,109.62,100.01
2007:Q2,105.85,102.27,107.08,106.16,102.04,101.17,100.12,105,104.82,102.95,101.84,102.83,104,105.11,105.94,102.54,101.68,106.89,109.58,103.21,109.11,103.47,108.23,106.72,110.95,100.23
2007:Q3,106.68,103.4,107.08,106.63,102.17,100.9,99.71,105.99,104.76,103.69,102.55,101.44,104.23,106.31,105.9,103.64,102.54,108.98,109.78,103.21,109.77,103.3,107.58,106.83,111.7,100.03
2007:Q4,107.7,103.1,108.48,106.48,102.66,102.27,99.22,105.82,105.05,103.34,103.09,101.08,104.09,106.97,108.55,104.03,101.69,110.13,110.25,103.25,110.1,102.84,107.46,106.62,111.76,99.73
2008:Q1,108.76,103.98,110.01,106.14,103.01,101.48,98.66,105.98,105.22,102.13,103.56,101.09,103.88,108.49,108.29,102.46,101.85,110.95,111.22,103.68,110.13,103.22,108,103.98,111.99,99.24
2008:Q2,109.51,103.77,110.65,105.89,103.88,100.99,98.82,107.29,104.34,102.24,103.13,100.63,103.63,108.07,106.84,103.6,102.42,109.7,113.09,104.37,109.83,102.29,108.34,108.05,112.24,99.47
2008:Q3,110.6,103.67,111.53,105.84,103.28,98.34,98.45,106.82,103.68,100.95,103.91,98.46,103.31,108.14,108.49,104.29,101.79,108.06,112.39,103.62,109.19,99.65,108.16,109.73,112.44,100.21
2008:Q4,113.93,105.02,111.82,106.47,102.46,97.7,99.04,107.04,104.71,101.65,104.4,97.29,103.72,108.34,112,103.92,101.43,107.54,111.18,103.76,108.24,100.42,109.68,112.87,111.94,101.49
2009:Q1,113.65,105.49,111.6,106.6,103.05,99.6,99.89,106.18,102.7,100.88,109.58,98.27,104.4,106.87,110.2,101.31,102.46,106.96,111.98,103.75,107.08,102.3,110.5,110.55,112.21,102.18
2009:Q2,114.62,103.97,111.53,106.59,103.18,100.24,100.87,107.58,103.51,102.51,110.04,96.88,104.98,106.91,109.61,105.84,103.2,108.09,112.69,103.74,106.18,101.36,112.52,110.83,112.63,103.48
2009:Q3,113.06,104.22,112.85,106.69,103.14,100.41,100.79,109.19,103.85,102.4,110.44,96.27,105.57,107.22,110,103.3,104.4,109.39,113.64,103.05,105.77,100.74,113.8,106.28,113.01,104.41
